0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
16,6,0,27,11,9,25,28,1,22,12,19,18,8,3,21,5,23,4,7,15,29,2,20,10,14,17,24,26,16,6,0,27,11,9,25,28,1,22,12,19,18,8,3,21,5,23,4,7,15,29,2,20,10,14,17,24,26
15,5,28,26,10,8,24,27,0,21,11,18,17,7,2,20,4,22,3,6,29,12,1,19,9,13,16,23,25,15,5,28,26,10,8,24,27,0,21,11,18,17,7,2,20,4,22,3,6,29,12,1,19,9,13,16,23,25
14,4,27,25,9,7,23,26,28,20,10,17,16,6,1,19,3,21,2,5,13,11,0,18,8,12,29,22,24,14,4,27,25,9,7,23,26,28,20,10,17,16,6,1,19,3,21,2,5,13,11,0,18,8,12,29,22,24
13,3,26,24,8,6,22,25,27,19,9,29,15,5,0,18,2,20,1,4,12,10,28,17,7,11,14,21,23,13,3,26,24,8,6,22,25,27,19,9,29,15,5,0,18,2,20,1,4,12,10,28,17,7,11,14,21,23
12,2,25,23,7,5,21,24,26,18,8,15,14,4,28,29,1,19,0,3,11,9,27,16,6,10,13,20,22,12,2,25,23,7,5,21,24,26,18,8,15,14,4,28,29,1,19,0,3,11,9,27,16,6,10,13,20,22
11,1,24,22,6,4,20,23,25,17,7,14,13,3,27,16,0,29,28,2,10,8,26,15,5,9,12,19,21,11,1,24,22,6,4,20,23,25,17,7,14,13,3,27,16,0,29,28,2,10,8,26,15,5,9,12,19,21
10,0,23,21,5,3,29,22,24,16,6,13,12,2,26,15,28,17,27,1,9,7,25,14,4,8,11,18,20,10,0,23,21,5,3,29,22,24,16,6,13,12,2,26,15,28,17,27,1,9,7,25,14,4,8,11,18,20
9,28,22,29,4,2,18,21,23,15,5,12,11,1,25,14,27,16,26,0,8,6,24,13,3,7,10,17,19,9,28,22,29,4,2,18,21,23,15,5,12,11,1,25,14,27,16,26,0,8,6,24,13,3,7,10,17,19
8,27,29,19,3,1,17,20,22,14,4,11,10,0,24,13,26,15,25,28,7,5,23,12,2,6,9,16,18,8,27,29,19,3,1,17,20,22,14,4,11,10,0,24,13,26,15,25,28,7,5,23,12,2,6,9,16,18
7,26,20,18,2,0,16,19,21,13,3,10,9,28,23,12,25,14,24,27,6,4,29,11,1,5,8,15,17,7,26,20,18,2,0,16,19,21,13,3,10,9,28,23,12,25,14,24,27,6,4,29,11,1,5,8,15,17
6,25,19,17,1,28,15,18,20,12,2,9,8,27,22,11,24,13,29,26,5,3,21,10,0,4,7,14,16,6,25,19,17,1,28,15,18,20,12,2,9,8,27,22,11,24,13,29,26,5,3,21,10,0,4,7,14,16
5,29,18,16,0,27,14,17,19,11,1,8,7,26,21,10,23,12,22,25,4,2,20,9,28,3,6,13,15,5,29,18,16,0,27,14,17,19,11,1,8,7,26,21,10,23,12,22,25,4,2,20,9,28,3,6,13,15
4,23,17,15,28,26,13,16,18,10,0,7,6,29,20,9,22,11,21,24,3,1,19,8,27,2,5,12,14,4,23,17,15,28,26,13,16,18,10,0,7,6,29,20,9,22,11,21,24,3,1,19,8,27,2,5,12,14
3,22,16,14,27,25,12,15,17,9,28,6,5,24,19,8,21,10,20,23,2,0,18,7,29,1,4,11,13,3,22,16,14,27,25,12,15,17,9,28,6,5,24,19,8,21,10,20,23,2,0,18,7,29,1,4,11,13
2,21,15,13,26,24,11,14,16,8,29,5,4,23,18,7,20,9,19,22,1,28,17,6,25,0,3,10,12,2,21,15,13,26,24,11,14,16,8,29,5,4,23,18,7,20,9,19,22,1,28,17,6,25,0,3,10,12
1,20,14,12,25,23,10,13,15,7,26,4,3,22,17,6,19,8,18,21,0,27,16,5,24,29,2,9,11,1,20,14,12,25,23,10,13,15,7,26,4,3,22,17,6,19,8,18,21,0,27,16,5,24,29,2,9,11
0,24,21,20,12,11,19,6,7,3,27,16,1,25,8,17,9,18,23,10,14,13,22,2,26,28,15,4,5,0,24,21,20,12,11,19,6,7,3,27,16,1,25,8,17,9,18,23,10,14,13,22,2,26,28,15,4,5
