0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
3,13,0,28,15,11,12,1,25,21,22,29,8,9,24,6,14,23,20,2,4,10,17,19,26,18,27,7,5,3,13,0,28,15,11,12,1,25,21,22,29,8,9,24,6,14,23,20,2,4,10,17,19,26,18,27,7,5
2,12,28,27,14,10,11,0,24,20,21,15,7,8,23,5,13,22,19,1,3,9,16,18,25,29,26,6,4,2,12,28,27,14,10,11,0,24,20,21,15,7,8,23,5,13,22,19,1,3,9,16,18,25,29,26,6,4
1,11,27,26,13,9,10,28,23,19,20,14,6,7,22,4,12,21,29,0,2,8,15,17,24,16,25,5,3,1,11,27,26,13,9,10,28,23,19,20,14,6,7,22,4,12,21,29,0,2,8,15,17,24,16,25,5,3
0,10,26,25,12,8,9,27,22,18,29,13,5,6,21,3,11,20,17,28,1,7,14,16,23,15,24,4,2,0,10,26,25,12,8,9,27,22,18,29,13,5,6,21,3,11,20,17,28,1,7,14,16,23,15,24,4,2
28,9,25,24,11,7,8,26,21,17,18,12,4,5,29,2,10,19,16,27,0,6,13,15,22,14,23,3,1,28,9,25,24,11,7,8,26,21,17,18,12,4,5,29,2,10,19,16,27,0,6,13,15,22,14,23,3,1
27,8,24,23,10,6,7,25,20,16,17,11,3,4,19,1,9,18,15,26,28,5,12,14,29,13,22,2,0,27,8,24,23,10,6,7,25,20,16,17,11,3,4,19,1,9,18,15,26,28,5,12,14,29,13,22,2,0
26,7,23,29,9,5,6,24,19,15,16,10,2,3,18,0,8,17,14,25,27,4,11,13,20,12,21,1,28,26,7,23,29,9,5,6,24,19,15,16,10,2,3,18,0,8,17,14,25,27,4,11,13,20,12,21,1,28
25,6,22,21,8,4,5,29,18,14,15,9,1,2,17,28,7,16,13,24,26,3,10,12,19,11,20,0,27,25,6,22,21,8,4,5,29,18,14,15,9,1,2,17,28,7,16,13,24,26,3,10,12,19,11,20,0,27
29,5,21,20,7,3,4,22,17,13,14,8,0,1,16,27,6,15,12,23,25,2,9,11,18,10,19,28,26,29,5,21,20,7,3,4,22,17,13,14,8,0,1,16,27,6,15,12,23,25,2,9,11,18,10,19,28,26
23,4,20,19,6,2,3,21,16,12,13,7,28,0,15,26,5,14,11,22,24,1,8,10,17,9,18,27,29,23,4,20,19,6,2,3,21,16,12,13,7,28,0,15,26,5,14,11,22,24,1,8,10,17,9,18,27,29
22,3,19,18,5,1,2,20,15,11,12,6,27,28,14,25,4,13,10,21,23,0,7,9,16,8,17,29,24,22,3,19,18,5,1,2,20,15,11,12,6,27,28,14,25,4,13,10,21,23,0,7,9,16,8,17,29,24
21,2,18,17,4,0,1,19,14,10,11,5,26,29,13,24,3,12,9,20,22,28,6,8,15,7,16,25,23,21,2,18,17,4,0,1,19,14,10,11,5,26,29,13,24,3,12,9,20,22,28,6,8,15,7,16,25,23
20,1,17,16,3,29,0,18,13,9,10,4,25,26,12,23,2,11,8,19,21,27,5,7,14,6,15,24,22,20,1,17,16,3,29,0,18,13,9,10,4,25,26,12,23,2,11,8,19,21,27,5,7,14,6,15,24,22
24,0,8,22,1,28,14,23,6,4,19,16,12,27,20,11,15,5,18,9,10,13,2,3,21,17,7,26,25,24,0,8,22,1,28,14,23,6,4,19,16,12,27,20,11,15,5,18,9,10,13,2,3,21,17,7,26,25
