0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
1,37,34,25,16,35,8,0,23,31,2,30,20,10,4,24,7,21,12,11,14,6,33,15,32,19,3,26,27,36,13,17,18,9,28,5,29,1,37,34,25,16,35,8,0,23,31,2,30,20,10,4,24,7,21,12,11,14,6,33,15,32,19,3,26,27,36,13,17,18,9,28,5,29
0,21,33,24,15,34,7,36,22,30,1,29,19,9,3,37,6,20,11,10,13,5,32,14,31,18,2,25,26,35,12,16,17,8,27,4,28,0,21,33,24,15,34,7,36,22,30,1,29,19,9,3,37,6,20,11,10,13,5,32,14,31,18,2,25,26,35,12,16,17,8,27,4,28
36,20,32,23,14,33,6,35,21,29,0,28,18,8,2,22,5,19,10,9,12,4,31,13,30,17,1,37,25,34,11,15,16,7,26,3,27,36,20,32,23,14,33,6,35,21,29,0,28,18,8,2,22,5,19,10,9,12,4,31,13,30,17,1,37,25,34,11,15,16,7,26,3,27
35,19,31,22,13,32,5,34,20,28,36,27,17,7,1,21,4,18,9,8,11,3,30,12,29,16,0,23,24,33,10,14,15,6,37,2,26,35,19,31,22,13,32,5,34,20,28,36,27,17,7,1,21,4,18,9,8,11,3,30,12,29,16,0,23,24,33,10,14,15,6,37,2,26
34,18,30,21,12,31,4,33,19,27,35,37,16,6,0,20,3,17,8,7,10,2,29,11,28,15,36,22,23,32,9,13,14,5,24,1,25,34,18,30,21,12,31,4,33,19,27,35,37,16,6,0,20,3,17,8,7,10,2,29,11,28,15,36,22,23,32,9,13,14,5,24,1,25
33,17,29,20,11,30,3,32,18,26,34,25,15,5,36,19,2,16,7,6,9,1,28,10,37,14,35,21,22,31,8,12,13,4,23,0,24,33,17,29,20,11,30,3,32,18,26,34,25,15,5,36,19,2,16,7,6,9,1,28,10,37,14,35,21,22,31,8,12,13,4,23,0,24
32,16,37,19,10,29,2,31,17,25,33,24,14,4,35,18,1,15,6,5,8,0,27,9,26,13,34,20,21,30,7,11,12,3,22,36,23,32,16,37,19,10,29,2,31,17,25,33,24,14,4,35,18,1,15,6,5,8,0,27,9,26,13,34,20,21,30,7,11,12,3,22,36,23
31,15,27,18,9,28,1,30,16,24,32,23,13,3,34,17,0,14,5,4,7,36,26,8,25,12,33,19,20,37,6,10,11,2,21,35,22,31,15,27,18,9,28,1,30,16,24,32,23,13,3,34,17,0,14,5,4,7,36,26,8,25,12,33,19,20,37,6,10,11,2,21,35,22
37,14,26,17,8,27,0,29,15,23,31,22,12,2,33,16,36,13,4,3,6,35,25,7,24,11,32,18,19,28,5,9,10,1,20,34,21,37,14,26,17,8,27,0,29,15,23,31,22,12,2,33,16,36,13,4,3,6,35,25,7,24,11,32,18,19,28,5,9,10,1,20,34,21
29,13,25,16,7,26,36,28,14,22,30,21,11,1,32,15,35,12,3,2,5,34,24,6,23,10,37,17,18,27,4,8,9,0,19,33,20,29,13,25,16,7,26,36,28,14,22,30,21,11,1,32,15,35,12,3,2,5,34,24,6,23,10,37,17,18,27,4,8,9,0,19,33,20
28,12,24,15,6,25,35,27,13,21,29,20,10,0,31,14,34,11,2,1,4,33,23,5,22,9,30,16,17,26,3,7,8,36,18,37,19,28,12,24,15,6,25,35,27,13,21,29,20,10,0,31,14,34,11,2,1,4,33,23,5,22,9,30,16,17,26,3,7,8,36,18,37,19
27,11,23,14,5,24,34,26,12,20,28,19,9,36,30,13,37,10,1,0,3,32,22,4,21,8,29,15,16,25,2,6,7,35,17,31,18,27,11,23,14,5,24,34,26,12,20,28,19,9,36,30,13,37,10,1,0,3,32,22,4,21,8,29,15,16,25,2,6,7,35,17,31,18
26,10,22,13,4,23,33,25,11,19,27,18,8,35,29,12,32,9,0,36,2,31,21,3,20,7,28,14,15,24,1,5,6,37,16,30,17,26,10,22,13,4,23,33,25,11,19,27,18,8,35,29,12,32,9,0,36,2,31,21,3,20,7,28,14,15,24,1,5,6,37,16,30,17
25,9,21,12,3,22,32,24,10,18,26,17,7,34,28,11,31,8,36,37,1,30,20,2,19,6,27,13,14,23,0,4,5,33,15,29,16,25,9,21,12,3,22,32,24,10,18,26,17,7,34,28,11,31,8,36,37,1,30,20,2,19,6,27,13,14,23,0,4,5,33,15,29,16
24,8,20,11,2,21,31,23,9,17,25,16,6,33,27,10,30,7,35,34,0,29,19,1,18,5,26,12,13,22,37,3,4,32,14,28,15,24,8,20,11,2,21,31,23,9,17,25,16,6,33,27,10,30,7,35,34,0,29,19,1,18,5,26,12,13,22,37,3,4,32,14,28,15
30,22,28,5,19,10,15,11,4,8,12,26,21,16,13,23,33,3,17,35,18,14,9,0,27,2,31,24,6,29,36,1,20,34,25,32,7,30,22,28,5,19,10,15,11,4,8,12,26,21,16,13,23,33,3,17,35,18,14,9,0,27,2,31,24,6,29,36,1,20,34,25,32,7
