0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
9,11,1,31,14,13,16,28,6,5,0,8,21,17,23,2,10,4,20,3,15,7,30,27,26,19,18,22,25,24,29,9,11,1,31,14,13,16,28,6,5,0,8,21,17,23,2,10,4,20,3,15,7,30,27,26,19,18,22,25,24,29
8,10,0,11,31,12,15,27,5,4,30,7,20,16,22,1,9,3,19,2,14,6,29,26,25,18,17,21,24,23,28,8,10,0,11,31,12,15,27,5,4,30,7,20,16,22,1,9,3,19,2,14,6,29,26,25,18,17,21,24,23,28
7,9,30,10,12,11,31,26,4,3,29,6,19,15,21,0,8,2,18,1,13,5,28,25,24,17,16,20,23,22,27,7,9,30,10,12,11,31,26,4,3,29,6,19,15,21,0,8,2,18,1,13,5,28,25,24,17,16,20,23,22,27
6,8,29,9,11,10,13,25,3,2,28,5,18,14,20,30,7,1,17,0,12,4,27,24,23,16,31,19,22,21,26,6,8,29,9,11,10,13,25,3,2,28,5,18,14,20,30,7,1,17,0,12,4,27,24,23,16,31,19,22,21,26
5,7,28,8,10,9,12,24,2,1,27,4,17,13,19,29,6,0,31,30,11,3,26,23,22,15,14,18,21,20,25,5,7,28,8,10,9,12,24,2,1,27,4,17,13,19,29,6,0,31,30,11,3,26,23,22,15,14,18,21,20,25
4,6,27,7,9,8,11,23,1,0,26,3,16,12,18,28,5,30,15,29,10,2,25,22,21,14,13,31,20,19,24,4,6,27,7,9,8,11,23,1,0,26,3,16,12,18,28,5,30,15,29,10,2,25,22,21,14,13,31,20,19,24
3,5,26,6,8,7,10,22,0,30,25,2,15,11,17,27,4,29,14,28,9,1,24,21,20,13,12,16,19,31,23,3,5,26,6,8,7,10,22,0,30,25,2,15,11,17,27,4,29,14,28,9,1,24,21,20,13,12,16,19,31,23
2,4,25,5,7,6,9,21,30,29,24,1,14,10,16,26,3,28,13,27,8,0,23,20,31,12,11,15,18,17,22,2,4,25,5,7,6,9,21,30,29,24,1,14,10,16,26,3,28,13,27,8,0,23,20,31,12,11,15,18,17,22
1,3,24,4,6,5,8,31,29,28,23,0,13,9,15,25,2,27,12,26,7,30,22,19,18,11,10,14,17,16,21,1,3,24,4,6,5,8,31,29,28,23,0,13,9,15,25,2,27,12,26,7,30,22,19,18,11,10,14,17,16,21
0,2,23,3,5,4,7,19,28,27,22,30,12,8,14,24,1,26,11,25,6,29,31,18,17,10,9,13,16,15,20,0,2,23,3,5,4,7,19,28,27,22,30,12,8,14,24,1,26,11,25,6,29,31,18,17,10,9,13,16,15,20
30,1,31,2,4,3,6,18,27,26,21,29,11,7,13,23,0,25,10,24,5,28,20,17,16,9,8,12,15,14,19,30,1,31,2,4,3,6,18,27,26,21,29,11,7,13,23,0,25,10,24,5,28,20,17,16,9,8,12,15,14,19
29,0,21,1,3,2,5,17,26,25,20,28,10,6,12,22,30,24,9,31,4,27,19,16,15,8,7,11,14,13,18,29,0,21,1,3,2,5,17,26,25,20,28,10,6,12,22,30,24,9,31,4,27,19,16,15,8,7,11,14,13,18
28,30,20,0,2,1,4,16,25,31,19,27,9,5,11,21,29,23,8,22,3,26,18,15,14,7,6,10,13,12,17,28,30,20,0,2,1,4,16,25,31,19,27,9,5,11,21,29,23,8,22,3,26,18,15,14,7,6,10,13,12,17
27,29,19,30,1,0,3,15,24,23,18,26,8,4,10,20,28,22,7,21,2,31,17,14,13,6,5,9,12,11,16,27,29,19,30,1,0,3,15,24,23,18,26,8,4,10,20,28,22,7,21,2,31,17,14,13,6,5,9,12,11,16
31,28,18,29,0,30,2,14,23,22,17,25,7,3,9,19,27,21,6,20,1,24,16,13,12,5,4,8,11,10,15,31,28,18,29,0,30,2,14,23,22,17,25,7,3,9,19,27,21,6,20,1,24,16,13,12,5,4,8,11,10,15
25,31,17,28,30,29,1,13,22,21,16,24,6,2,8,18,26,20,5,19,0,23,15,12,11,4,3,7,10,9,14,25,31,17,28,30,29,1,13,22,21,16,24,6,2,8,18,26,20,5,19,0,23,15,12,11,4,3,7,10,9,14
24,26,16,27,29,31,0,12,21,20,15,23,5,1,7,17,25,19,4,18,30,22,14,11,10,3,2,6,9,8,13,24,26,16,27,29,31,0,12,21,20,15,23,5,1,7,17,25,19,4,18,30,22,14,11,10,3,2,6,9,8,13
23,25,15,26,28,27,30,11,20,19,14,22,4,0,6,16,24,18,3,17,31,21,13,10,9,2,1,5,8,7,12,23,25,15,26,28,27,30,11,20,19,14,22,4,0,6,16,24,18,3,17,31,21,13,10,9,2,1,5,8,7,12
22,24,14,25,27,26,29,10,19,18,13,21,3,31,5,15,23,17,2,16,28,20,12,9,8,1,0,4,7,6,11,22,24,14,25,27,26,29,10,19,18,13,21,3,31,5,15,23,17,2,16,28,20,12,9,8,1,0,4,7,6,11
26,27,22,12,13,28,14,20,9,24,6,10,1,30,2,7,11,8,16,23,29,25,21,4,19,0,15,17,3,18,5,26,27,22,12,13,28,14,20,9,24,6,10,1,30,2,7,11,8,16,23,29,25,21,4,19,0,15,17,3,18,5
