0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
5,1,22,0,27,17,10,23,13,30,7,6,9,14,3,4,8,28,29,25,12,24,31,21,11,18,15,20,2,26,19,5,1,22,0,27,17,10,23,13,30,7,6,9,14,3,4,8,28,29,25,12,24,31,21,11,18,15,20,2,26,19
4,0,21,30,26,16,9,22,12,29,6,5,8,13,2,3,7,27,28,24,11,23,15,20,10,31,14,19,1,25,18,4,0,21,30,26,16,9,22,12,29,6,5,8,13,2,3,7,27,28,24,11,23,15,20,10,31,14,19,1,25,18
3,30,20,29,25,15,8,21,11,28,5,4,7,12,1,2,6,26,27,23,10,22,14,19,9,16,13,31,0,24,17,3,30,20,29,25,15,8,21,11,28,5,4,7,12,1,2,6,26,27,23,10,22,14,19,9,16,13,31,0,24,17
2,29,31,28,24,14,7,20,10,27,4,3,6,11,0,1,5,25,26,22,9,21,13,18,8,15,12,17,30,23,16,2,29,31,28,24,14,7,20,10,27,4,3,6,11,0,1,5,25,26,22,9,21,13,18,8,15,12,17,30,23,16
1,28,18,27,23,13,6,19,9,26,3,2,5,10,30,0,4,24,25,21,8,31,12,17,7,14,11,16,29,22,15,1,28,18,27,23,13,6,19,9,26,3,2,5,10,30,0,4,24,25,21,8,31,12,17,7,14,11,16,29,22,15
0,27,17,26,22,12,5,18,8,25,2,1,4,9,29,30,3,23,24,20,7,19,11,16,6,13,10,15,28,31,14,0,27,17,26,22,12,5,18,8,25,2,1,4,9,29,30,3,23,24,20,7,19,11,16,6,13,10,15,28,31,14
30,26,16,25,21,11,4,17,7,24,1,0,3,8,28,29,2,31,23,19,6,18,10,15,5,12,9,14,27,20,13,30,26,16,25,21,11,4,17,7,24,1,0,3,8,28,29,2,31,23,19,6,18,10,15,5,12,9,14,27,20,13
29,25,15,24,20,10,3,16,6,31,0,30,2,7,27,28,1,21,22,18,5,17,9,14,4,11,8,13,26,19,12,29,25,15,24,20,10,3,16,6,31,0,30,2,7,27,28,1,21,22,18,5,17,9,14,4,11,8,13,26,19,12
28,31,14,23,19,9,2,15,5,22,30,29,1,6,26,27,0,20,21,17,4,16,8,13,3,10,7,12,25,18,11,28,31,14,23,19,9,2,15,5,22,30,29,1,6,26,27,0,20,21,17,4,16,8,13,3,10,7,12,25,18,11
27,23,13,22,18,8,1,14,4,21,29,28,0,5,31,26,30,19,20,16,3,15,7,12,2,9,6,11,24,17,10,27,23,13,22,18,8,1,14,4,21,29,28,0,5,31,26,30,19,20,16,3,15,7,12,2,9,6,11,24,17,10
31,22,12,21,17,7,0,13,3,20,28,27,30,4,24,25,29,18,19,15,2,14,6,11,1,8,5,10,23,16,9,31,22,12,21,17,7,0,13,3,20,28,27,30,4,24,25,29,18,19,15,2,14,6,11,1,8,5,10,23,16,9
25,21,11,20,16,6,30,12,2,19,31,26,29,3,23,24,28,17,18,14,1,13,5,10,0,7,4,9,22,15,8,25,21,11,20,16,6,30,12,2,19,31,26,29,3,23,24,28,17,18,14,1,13,5,10,0,7,4,9,22,15,8
24,20,10,19,15,5,29,11,1,18,26,25,31,2,22,23,27,16,17,13,0,12,4,9,30,6,3,8,21,14,7,24,20,10,19,15,5,29,11,1,18,26,25,31,2,22,23,27,16,17,13,0,12,4,9,30,6,3,8,21,14,7
23,19,9,18,14,4,28,10,0,17,25,24,27,1,21,22,26,15,16,12,30,11,3,8,31,5,2,7,20,13,6,23,19,9,18,14,4,28,10,0,17,25,24,27,1,21,22,26,15,16,12,30,11,3,8,31,5,2,7,20,13,6
22,18,8,17,13,3,27,9,31,16,24,23,26,0,20,21,25,14,15,11,29,10,2,7,28,4,1,6,19,12,5,22,18,8,17,13,3,27,9,31,16,24,23,26,0,20,21,25,14,15,11,29,10,2,7,28,4,1,6,19,12,5
26,24,19,8,6,1,13,4,30,23,27,11,28,15,25,10,12,22,7,5,14,20,16,3,29,17,0,18,9,21,2,26,24,19,8,6,1,13,4,30,23,27,11,28,15,25,10,12,22,7,5,14,20,16,3,29,17,0,18,9,21,2
