0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
31,12,6,13,0,8,30,14,18,24,22,28,21,27,2,26,15,9,11,4,20,16,1,7,19,3,29,25,17,23,5,31,12,6,13,0,8,30,14,18,24,22,28,21,27,2,26,15,9,11,4,20,16,1,7,19,3,29,25,17,23,5
9,31,5,12,30,7,29,13,17,23,21,27,20,26,1,25,14,8,10,3,19,15,0,6,18,2,28,24,16,22,4,9,31,5,12,30,7,29,13,17,23,21,27,20,26,1,25,14,8,10,3,19,15,0,6,18,2,28,24,16,22,4
8,10,4,11,29,6,28,31,16,22,20,26,19,25,0,24,13,7,9,2,18,14,30,5,17,1,27,23,15,21,3,8,10,4,11,29,6,28,31,16,22,20,26,19,25,0,24,13,7,9,2,18,14,30,5,17,1,27,23,15,21,3
7,9,3,10,28,5,27,11,15,21,19,25,18,24,30,23,12,6,8,1,17,31,29,4,16,0,26,22,14,20,2,7,9,3,10,28,5,27,11,15,21,19,25,18,24,30,23,12,6,8,1,17,31,29,4,16,0,26,22,14,20,2
6,8,2,9,27,4,26,10,31,20,18,24,17,23,29,22,11,5,7,0,16,12,28,3,15,30,25,21,13,19,1,6,8,2,9,27,4,26,10,31,20,18,24,17,23,29,22,11,5,7,0,16,12,28,3,15,30,25,21,13,19,1
5,7,1,8,26,3,25,9,13,19,17,23,16,22,28,21,10,4,6,30,31,11,27,2,14,29,24,20,12,18,0,5,7,1,8,26,3,25,9,13,19,17,23,16,22,28,21,10,4,6,30,31,11,27,2,14,29,24,20,12,18,0
4,6,0,7,25,2,24,8,12,18,31,22,15,21,27,20,9,3,5,29,14,10,26,1,13,28,23,19,11,17,30,4,6,0,7,25,2,24,8,12,18,31,22,15,21,27,20,9,3,5,29,14,10,26,1,13,28,23,19,11,17,30
3,5,30,6,24,1,23,7,11,31,15,21,14,20,26,19,8,2,4,28,13,9,25,0,12,27,22,18,10,16,29,3,5,30,6,24,1,23,7,11,31,15,21,14,20,26,19,8,2,4,28,13,9,25,0,12,27,22,18,10,16,29
2,4,29,5,23,0,22,6,10,16,14,20,13,19,25,31,7,1,3,27,12,8,24,30,11,26,21,17,9,15,28,2,4,29,5,23,0,22,6,10,16,14,20,13,19,25,31,7,1,3,27,12,8,24,30,11,26,21,17,9,15,28
1,3,28,4,22,30,21,5,9,15,13,31,12,18,24,17,6,0,2,26,11,7,23,29,10,25,20,16,8,14,27,1,3,28,4,22,30,21,5,9,15,13,31,12,18,24,17,6,0,2,26,11,7,23,29,10,25,20,16,8,14,27
0,2,27,3,21,29,31,4,8,14,12,18,11,17,23,16,5,30,1,25,10,6,22,28,9,24,19,15,7,13,26,0,2,27,3,21,29,31,4,8,14,12,18,11,17,23,16,5,30,1,25,10,6,22,28,9,24,19,15,7,13,26
30,1,26,2,20,28,19,3,7,13,11,17,10,16,22,15,4,29,0,24,9,5,31,27,8,23,18,14,6,12,25,30,1,26,2,20,28,19,3,7,13,11,17,10,16,22,15,4,29,0,24,9,5,31,27,8,23,18,14,6,12,25
29,0,25,1,19,27,18,2,6,12,10,16,9,15,21,14,3,28,30,23,8,4,20,26,7,31,17,13,5,11,24,29,0,25,1,19,27,18,2,6,12,10,16,9,15,21,14,3,28,30,23,8,4,20,26,7,31,17,13,5,11,24
28,30,24,0,18,26,17,1,5,11,9,15,8,14,20,13,2,27,29,22,7,3,19,25,6,21,16,12,4,10,31,28,30,24,0,18,26,17,1,5,11,9,15,8,14,20,13,2,27,29,22,7,3,19,25,6,21,16,12,4,10,31
27,29,23,30,17,25,16,0,4,10,8,14,7,13,19,12,1,26,28,21,6,2,18,31,5,20,15,11,3,9,22,27,29,23,30,17,25,16,0,4,10,8,14,7,13,19,12,1,26,28,21,6,2,18,31,5,20,15,11,3,9,22
26,28,22,29,16,24,15,30,3,9,7,13,6,12,18,11,0,31,27,20,5,1,17,23,4,19,14,10,2,8,21,26,28,22,29,16,24,15,30,3,9,7,13,6,12,18,11,0,31,27,20,5,1,17,23,4,19,14,10,2,8,21
25,27,21,28,15,23,14,29,2,8,6,12,5,11,17,10,30,24,31,19,4,0,16,22,3,18,13,9,1,7,20,25,27,21,28,15,23,14,29,2,8,6,12,5,11,17,10,30,24,31,19,4,0,16,22,3,18,13,9,1,7,20
24,26,20,31,14,22,13,28,1,7,5,11,4,10,16,9,29,23,25,18,3,30,15,21,2,17,12,8,0,6,19,24,26,20,31,14,22,13,28,1,7,5,11,4,10,16,9,29,23,25,18,3,30,15,21,2,17,12,8,0,6,19
23,25,19,26,13,21,12,27,0,6,4,10,3,9,15,8,31,22,24,17,2,29,14,20,1,16,11,7,30,5,18,23,25,19,26,13,21,12,27,0,6,4,10,3,9,15,8,31,22,24,17,2,29,14,20,1,16,11,7,30,5,18
22,24,18,25,12,20,11,26,30,5,3,9,2,8,14,7,27,21,23,16,1,28,13,19,0,15,10,6,31,4,17,22,24,18,25,12,20,11,26,30,5,3,9,2,8,14,7,27,21,23,16,1,28,13,19,0,15,10,6,31,4,17
21,23,17,24,11,19,10,25,29,4,2,8,1,7,13,6,26,20,22,15,0,27,12,18,31,14,9,5,28,3,16,21,23,17,24,11,19,10,25,29,4,2,8,1,7,13,6,26,20,22,15,0,27,12,18,31,14,9,5,28,3,16
10,11,8,27,5,9,20,12,14,17,16,19,0,3,6,18,28,25,26,7,15,13,21,24,30,22,4,2,29,1,23,10,11,8,27,5,9,20,12,14,17,16,19,0,3,6,18,28,25,26,7,15,13,21,24,30,22,4,2,29,1,23
