0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
26,27,15,9,7,11,10,22,17,2,25,16,6,8,5,13,4,1,14,19,21,24,18,23,3,20,0,26,27,15,9,7,11,10,22,17,2,25,16,6,8,5,13,4,1,14,19,21,24,18,23,3,20,0
25,11,14,8,6,10,9,21,16,1,24,15,5,7,4,12,3,0,27,18,20,23,17,22,2,19,26,25,11,14,8,6,10,9,21,16,1,24,15,5,7,4,12,3,0,27,18,20,23,17,22,2,19,26
24,10,13,7,5,9,8,20,15,0,23,27,4,6,3,11,2,26,12,17,19,22,16,21,1,18,25,24,10,13,7,5,9,8,20,15,0,23,27,4,6,3,11,2,26,12,17,19,22,16,21,1,18,25
23,9,12,6,4,8,7,19,14,26,22,13,3,5,2,10,1,25,11,16,18,21,27,20,0,17,24,23,9,12,6,4,8,7,19,14,26,22,13,3,5,2,10,1,25,11,16,18,21,27,20,0,17,24
22,8,11,5,3,7,6,18,13,25,21,12,2,4,1,9,0,24,10,15,17,20,14,19,26,27,23,22,8,11,5,3,7,6,18,13,25,21,12,2,4,1,9,0,24,10,15,17,20,14,19,26,27,23
21,7,10,4,2,6,5,27,12,24,20,11,1,3,0,8,26,23,9,14,16,19,13,18,25,15,22,21,7,10,4,2,6,5,27,12,24,20,11,1,3,0,8,26,23,9,14,16,19,13,18,25,15,22
20,6,9,3,1,5,4,16,11,23,19,10,0,2,26,7,25,22,8,13,15,27,12,17,24,14,21,20,6,9,3,1,5,4,16,11,23,19,10,0,2,26,7,25,22,8,13,15,27,12,17,24,14,21
27,5,8,2,0,4,3,15,10,22,18,9,26,1,25,6,24,21,7,12,14,17,11,16,23,13,20,27,5,8,2,0,4,3,15,10,22,18,9,26,1,25,6,24,21,7,12,14,17,11,16,23,13,20
18,4,7,1,26,3,2,14,9,21,17,8,25,0,24,5,23,27,6,11,13,16,10,15,22,12,19,18,4,7,1,26,3,2,14,9,21,17,8,25,0,24,5,23,27,6,11,13,16,10,15,22,12,19
17,3,6,0,25,2,1,13,8,20,16,7,24,26,23,4,22,19,5,10,12,15,9,14,27,11,18,17,3,6,0,25,2,1,13,8,20,16,7,24,26,23,4,22,19,5,10,12,15,9,14,27,11,18
16,2,5,26,24,1,0,12,7,19,15,6,23,25,27,3,21,18,4,9,11,14,8,13,20,10,17,16,2,5,26,24,1,0,12,7,19,15,6,23,25,27,3,21,18,4,9,11,14,8,13,20,10,17
15,1,4,25,27,0,26,11,6,18,14,5,22,24,21,2,20,17,3,8,10,13,7,12,19,9,16,15,1,4,25,27,0,26,11,6,18,14,5,22,24,21,2,20,17,3,8,10,13,7,12,19,9,16
14,0,3,27,22,26,25,10,5,17,13,4,21,23,20,1,19,16,2,7,9,12,6,11,18,8,15,14,0,3,27,22,26,25,10,5,17,13,4,21,23,20,1,19,16,2,7,9,12,6,11,18,8,15
13,26,2,23,21,27,24,9,4,16,12,3,20,22,19,0,18,15,1,6,8,11,5,10,17,7,14,13,26,2,23,21,27,24,9,4,16,12,3,20,22,19,0,18,15,1,6,8,11,5,10,17,7,14
12,25,1,22,20,24,23,8,3,15,11,2,19,21,18,27,17,14,0,5,7,10,4,9,16,6,13,12,25,1,22,20,24,23,8,3,15,11,2,19,21,18,27,17,14,0,5,7,10,4,9,16,6,13
19,12,0,24,23,25,11,17,1,7,5,14,9,10,22,26,8,20,13,2,3,18,15,4,21,16,6,19,12,0,24,23,25,11,17,1,7,5,14,9,10,22,26,8,20,13,2,3,18,15,4,21,16,6
