0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
8,19,24,26,23,20,0,3,9,29,10,18,15,17,7,12,21,25,5,13,2,6,4,1,27,11,22,28,16,8,19,24,26,23,20,0,3,9,29,10,18,15,17,7,12,21,25,5,13,2,6,4,1,27,11,22,28,16
7,18,23,25,22,19,28,2,8,13,9,17,14,16,6,11,20,24,4,12,1,5,3,0,26,10,21,27,29,7,18,23,25,22,19,28,2,8,13,9,17,14,16,6,11,20,24,4,12,1,5,3,0,26,10,21,27,29
6,17,22,24,21,18,27,1,7,12,8,29,13,15,5,10,19,23,3,11,0,4,2,28,25,9,20,26,14,6,17,22,24,21,18,27,1,7,12,8,29,13,15,5,10,19,23,3,11,0,4,2,28,25,9,20,26,14
5,16,21,23,20,29,26,0,6,11,7,15,12,14,4,9,18,22,2,10,28,3,1,27,24,8,19,25,13,5,16,21,23,20,29,26,0,6,11,7,15,12,14,4,9,18,22,2,10,28,3,1,27,24,8,19,25,13
4,15,20,22,19,16,25,28,5,10,6,14,11,13,3,8,17,21,1,9,27,2,0,26,23,7,29,24,12,4,15,20,22,19,16,25,28,5,10,6,14,11,13,3,8,17,21,1,9,27,2,0,26,23,7,29,24,12
3,14,29,21,18,15,24,27,4,9,5,13,10,12,2,7,16,20,0,8,26,1,28,25,22,6,17,23,11,3,14,29,21,18,15,24,27,4,9,5,13,10,12,2,7,16,20,0,8,26,1,28,25,22,6,17,23,11
2,13,18,29,17,14,23,26,3,8,4,12,9,11,1,6,15,19,28,7,25,0,27,24,21,5,16,22,10,2,13,18,29,17,14,23,26,3,8,4,12,9,11,1,6,15,19,28,7,25,0,27,24,21,5,16,22,10
1,12,17,19,16,13,22,25,2,7,3,11,8,10,0,5,14,18,27,6,24,28,26,23,20,4,15,29,9,1,12,17,19,16,13,22,25,2,7,3,11,8,10,0,5,14,18,27,6,24,28,26,23,20,4,15,29,9
0,11,16,18,15,12,21,24,1,6,2,10,7,9,28,4,13,17,26,5,23,27,25,29,19,3,14,20,8,0,11,16,18,15,12,21,24,1,6,2,10,7,9,28,4,13,17,26,5,23,27,25,29,19,3,14,20,8
28,10,15,17,14,11,20,29,0,5,1,9,6,8,27,3,12,16,25,4,22,26,24,21,18,2,13,19,7,28,10,15,17,14,11,20,29,0,5,1,9,6,8,27,3,12,16,25,4,22,26,24,21,18,2,13,19,7
27,9,14,16,13,10,19,22,28,4,0,8,5,7,26,2,11,15,29,3,21,25,23,20,17,1,12,18,6,27,9,14,16,13,10,19,22,28,4,0,8,5,7,26,2,11,15,29,3,21,25,23,20,17,1,12,18,6
26,8,13,15,12,9,18,21,27,3,28,7,4,6,29,1,10,14,23,2,20,24,22,19,16,0,11,17,5,26,8,13,15,12,9,18,21,27,3,28,7,4,6,29,1,10,14,23,2,20,24,22,19,16,0,11,17,5
25,7,12,14,11,8,17,20,29,2,27,6,3,5,24,0,9,13,22,1,19,23,21,18,15,28,10,16,4,25,7,12,14,11,8,17,20,29,2,27,6,3,5,24,0,9,13,22,1,19,23,21,18,15,28,10,16,4
24,6,11,13,10,7,16,19,25,1,26,5,2,4,23,28,8,12,21,0,18,22,20,17,14,29,9,15,3,24,6,11,13,10,7,16,19,25,1,26,5,2,4,23,28,8,12,21,0,18,22,20,17,14,29,9,15,3
23,5,10,12,9,6,15,18,24,0,25,4,1,3,22,27,7,11,20,29,17,21,19,16,13,26,8,14,2,23,5,10,12,9,6,15,18,24,0,25,4,1,3,22,27,7,11,20,29,17,21,19,16,13,26,8,14,2
11,2,19,20,4,17,7,23,26,14,12,16,0,1,25,13,3,5,24,28,8,10,9,22,6,27,18,21,15,11,2,19,20,4,17,7,23,26,14,12,16,0,1,25,13,3,5,24,28,8,10,9,22,6,27,18,21,15
