0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
5,19,31,9,28,1,20,27,10,38,17,2,29,39,24,6,26,3,34,35,12,7,23,33,13,32,4,30,22,14,37,36,15,11,0,18,25,21,8,5,19,31,9,28,1,20,27,10,38,17,2,29,39,24,6,26,3,34,35,12,7,23,33,13,32,4,30,22,14,37,36,15,11,0,18,25,21,8
4,18,30,8,27,0,19,26,9,37,16,1,28,15,23,5,25,2,33,34,11,6,22,32,12,31,3,29,21,13,36,35,14,10,38,39,24,20,7,4,18,30,8,27,0,19,26,9,37,16,1,28,15,23,5,25,2,33,34,11,6,22,32,12,31,3,29,21,13,36,35,14,10,38,39,24,20,7
3,17,29,7,26,38,39,25,8,36,15,0,27,14,22,4,24,1,32,33,10,5,21,31,11,30,2,28,20,12,35,34,13,9,37,16,23,19,6,3,17,29,7,26,38,39,25,8,36,15,0,27,14,22,4,24,1,32,33,10,5,21,31,11,30,2,28,20,12,35,34,13,9,37,16,23,19,6
2,16,28,6,25,37,17,24,7,35,14,38,26,13,21,3,23,0,31,32,9,4,20,30,10,29,1,27,39,11,34,33,12,8,36,15,22,18,5,2,16,28,6,25,37,17,24,7,35,14,38,26,13,21,3,23,0,31,32,9,4,20,30,10,29,1,27,39,11,34,33,12,8,36,15,22,18,5
1,15,27,5,24,36,16,23,6,34,13,37,25,12,39,2,22,38,30,31,8,3,19,29,9,28,0,26,18,10,33,32,11,7,35,14,21,17,4,1,15,27,5,24,36,16,23,6,34,13,37,25,12,39,2,22,38,30,31,8,3,19,29,9,28,0,26,18,10,33,32,11,7,35,14,21,17,4
0,14,26,4,23,35,15,22,5,33,12,36,24,11,19,1,39,37,29,30,7,2,18,28,8,27,38,25,17,9,32,31,10,6,34,13,20,16,3,0,14,26,4,23,35,15,22,5,33,12,36,24,11,19,1,39,37,29,30,7,2,18,28,8,27,38,25,17,9,32,31,10,6,34,13,20,16,3
38,13,25,3,39,34,14,21,4,32,11,35,23,10,18,0,20,36,28,29,6,1,17,27,7,26,37,24,16,8,31,30,9,5,33,12,19,15,2,38,13,25,3,39,34,14,21,4,32,11,35,23,10,18,0,20,36,28,29,6,1,17,27,7,26,37,24,16,8,31,30,9,5,33,12,19,15,2
37,12,24,2,21,33,13,20,3,31,10,34,22,9,17,38,19,35,27,28,5,0,16,26,6,25,36,39,15,7,30,29,8,4,32,11,18,14,1,37,12,24,2,21,33,13,20,3,31,10,34,22,9,17,38,19,35,27,28,5,0,16,26,6,25,36,39,15,7,30,29,8,4,32,11,18,14,1
36,11,23,1,20,32,12,19,2,30,9,33,21,8,16,37,18,34,26,27,4,38,15,25,5,39,35,22,14,6,29,28,7,3,31,10,17,13,0,36,11,23,1,20,32,12,19,2,30,9,33,21,8,16,37,18,34,26,27,4,38,15,25,5,39,35,22,14,6,29,28,7,3,31,10,17,13,0
35,10,22,0,19,31,11,18,1,29,8,32,20,7,15,36,17,33,39,26,3,37,14,24,4,23,34,21,13,5,28,27,6,2,30,9,16,12,38,35,10,22,0,19,31,11,18,1,29,8,32,20,7,15,36,17,33,39,26,3,37,14,24,4,23,34,21,13,5,28,27,6,2,30,9,16,12,38
34,9,21,38,18,30,10,17,0,28,7,31,19,6,14,35,16,32,24,25,2,36,13,23,3,22,33,20,12,4,27,39,5,1,29,8,15,11,37,34,9,21,38,18,30,10,17,0,28,7,31,19,6,14,35,16,32,24,25,2,36,13,23,3,22,33,20,12,4,27,39,5,1,29,8,15,11,37
33,8,20,37,17,29,9,16,38,39,6,30,18,5,13,34,15,31,23,24,1,35,12,22,2,21,32,19,11,3,26,25,4,0,28,7,14,10,36,33,8,20,37,17,29,9,16,38,39,6,30,18,5,13,34,15,31,23,24,1,35,12,22,2,21,32,19,11,3,26,25,4,0,28,7,14,10,36
32,7,19,36,16,39,8,15,37,26,5,29,17,4,12,33,14,30,22,23,0,34,11,21,1,20,31,18,10,2,25,24,3,38,27,6,13,9,35,32,7,19,36,16,39,8,15,37,26,5,29,17,4,12,33,14,30,22,23,0,34,11,21,1,20,31,18,10,2,25,24,3,38,27,6,13,9,35
31,6,18,35,15,27,7,14,36,25,4,28,16,3,11,32,13,39,21,22,38,33,10,20,0,19,30,17,9,1,24,23,2,37,26,5,12,8,34,31,6,18,35,15,27,7,14,36,25,4,28,16,3,11,32,13,39,21,22,38,33,10,20,0,19,30,17,9,1,24,23,2,37,26,5,12,8,34
39,5,17,34,14,26,6,13,35,24,3,27,15,2,10,31,12,28,20,21,37,32,9,19,38,18,29,16,8,0,23,22,1,36,25,4,11,7,33,39,5,17,34,14,26,6,13,35,24,3,27,15,2,10,31,12,28,20,21,37,32,9,19,38,18,29,16,8,0,23,22,1,36,25,4,11,7,33
29,4,16,33,13,25,5,12,34,23,2,26,14,1,9,30,11,27,19,20,36,39,8,18,37,17,28,15,7,38,22,21,0,35,24,3,10,6,32,29,4,16,33,13,25,5,12,34,23,2,26,14,1,9,30,11,27,19,20,36,39,8,18,37,17,28,15,7,38,22,21,0,35,24,3,10,6,32
28,3,15,39,12,24,4,11,33,22,1,25,13,0,8,29,10,26,18,19,35,30,7,17,36,16,27,14,6,37,21,20,38,34,23,2,9,5,31,28,3,15,39,12,24,4,11,33,22,1,25,13,0,8,29,10,26,18,19,35,30,7,17,36,16,27,14,6,37,21,20,38,34,23,2,9,5,31
27,2,14,31,11,23,3,10,32,21,0,24,12,38,7,28,9,25,17,18,34,29,6,16,35,15,26,13,5,36,20,19,37,39,22,1,8,4,30,27,2,14,31,11,23,3,10,32,21,0,24,12,38,7,28,9,25,17,18,34,29,6,16,35,15,26,13,5,36,20,19,37,39,22,1,8,4,30
26,1,13,30,10,22,2,9,31,20,38,23,11,37,6,27,8,24,16,17,33,28,5,15,39,14,25,12,4,35,19,18,36,32,21,0,7,3,29,26,1,13,30,10,22,2,9,31,20,38,23,11,37,6,27,8,24,16,17,33,28,5,15,39,14,25,12,4,35,19,18,36,32,21,0,7,3,29
25,0,12,29,9,21,1,8,30,19,37,22,10,36,5,26,7,23,15,16,32,27,4,14,33,13,24,11,3,34,18,17,39,31,20,38,6,2,28,25,0,12,29,9,21,1,8,30,19,37,22,10,36,5,26,7,23,15,16,32,27,4,14,33,13,24,11,3,34,18,17,39,31,20,38,6,2,28
24,38,11,28,8,20,0,7,29,18,39,21,9,35,4,25,6,22,14,15,31,26,3,13,32,12,23,10,2,33,17,16,34,30,19,37,5,1,27,24,38,11,28,8,20,0,7,29,18,39,21,9,35,4,25,6,22,14,15,31,26,3,13,32,12,23,10,2,33,17,16,34,30,19,37,5,1,27
23,39,10,27,7,19,38,6,28,17,35,20,8,34,3,24,5,21,13,14,30,25,2,12,31,11,22,9,1,32,16,15,33,29,18,36,4,0,26,23,39,10,27,7,19,38,6,28,17,35,20,8,34,3,24,5,21,13,14,30,25,2,12,31,11,22,9,1,32,16,15,33,29,18,36,4,0,26
22,36,9,26,6,18,37,5,27,16,34,19,7,33,2,23,4,20,12,13,29,24,1,11,30,10,21,8,0,31,15,14,32,28,17,35,3,39,25,22,36,9,26,6,18,37,5,27,16,34,19,7,33,2,23,4,20,12,13,29,24,1,11,30,10,21,8,0,31,15,14,32,28,17,35,3,39,25
30,37,4,32,22,28,18,2,13,27,36,9,3,16,20,11,21,29,25,6,14,31,0,5,34,24,10,23,19,15,7,26,35,33,8,17,1,38,12,30,37,4,32,22,28,18,2,13,27,36,9,3,16,20,11,21,29,25,6,14,31,0,5,34,24,10,23,19,15,7,26,35,33,8,17,1,38,12
