0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
29,3,28,17,5,7,42,21,25,20,33,37,6,8,23,36,24,43,30,14,22,18,15,11,34,31,0,39,2,41,16,40,13,27,35,12,38,19,32,9,4,1,26,29,3,28,17,5,7,42,21,25,20,33,37,6,8,23,36,24,43,30,14,22,18,15,11,34,31,0,39,2,41,16,40,13,27,35,12,38,19,32,9,4,1,26
28,2,27,16,4,6,41,20,24,19,32,36,5,7,22,35,23,9,29,13,21,17,14,10,33,30,42,38,1,40,15,39,12,26,34,43,37,18,31,8,3,0,25,28,2,27,16,4,6,41,20,24,19,32,36,5,7,22,35,23,9,29,13,21,17,14,10,33,30,42,38,1,40,15,39,12,26,34,43,37,18,31,8,3,0,25
27,1,26,15,3,5,40,19,23,18,31,35,4,6,21,34,22,8,28,43,20,16,13,9,32,29,41,37,0,39,14,38,11,25,33,10,36,17,30,7,2,42,24,27,1,26,15,3,5,40,19,23,18,31,35,4,6,21,34,22,8,28,43,20,16,13,9,32,29,41,37,0,39,14,38,11,25,33,10,36,17,30,7,2,42,24
26,0,25,14,2,4,39,18,22,17,30,34,3,5,20,33,21,7,27,11,19,15,12,8,31,28,40,36,42,38,43,37,10,24,32,9,35,16,29,6,1,41,23,26,0,25,14,2,4,39,18,22,17,30,34,3,5,20,33,21,7,27,11,19,15,12,8,31,28,40,36,42,38,43,37,10,24,32,9,35,16,29,6,1,41,23
25,42,24,13,1,3,38,17,21,16,29,33,2,4,19,32,20,6,26,10,18,43,11,7,30,27,39,35,41,37,12,36,9,23,31,8,34,15,28,5,0,40,22,25,42,24,13,1,3,38,17,21,16,29,33,2,4,19,32,20,6,26,10,18,43,11,7,30,27,39,35,41,37,12,36,9,23,31,8,34,15,28,5,0,40,22
24,41,23,12,0,2,37,16,20,43,28,32,1,3,18,31,19,5,25,9,17,13,10,6,29,26,38,34,40,36,11,35,8,22,30,7,33,14,27,4,42,39,21,24,41,23,12,0,2,37,16,20,43,28,32,1,3,18,31,19,5,25,9,17,13,10,6,29,26,38,34,40,36,11,35,8,22,30,7,33,14,27,4,42,39,21
23,40,22,11,42,1,36,15,19,14,27,31,0,2,17,30,18,4,24,8,43,12,9,5,28,25,37,33,39,35,10,34,7,21,29,6,32,13,26,3,41,38,20,23,40,22,11,42,1,36,15,19,14,27,31,0,2,17,30,18,4,24,8,43,12,9,5,28,25,37,33,39,35,10,34,7,21,29,6,32,13,26,3,41,38,20
22,39,21,10,41,0,35,14,18,13,26,30,42,1,16,29,43,3,23,7,15,11,8,4,27,24,36,32,38,34,9,33,6,20,28,5,31,12,25,2,40,37,19,22,39,21,10,41,0,35,14,18,13,26,30,42,1,16,29,43,3,23,7,15,11,8,4,27,24,36,32,38,34,9,33,6,20,28,5,31,12,25,2,40,37,19
21,38,20,9,40,42,34,13,17,12,25,29,41,0,15,28,16,2,22,6,14,10,7,3,26,23,35,31,37,33,8,32,5,19,27,4,30,11,24,1,39,36,43,21,38,20,9,40,42,34,13,17,12,25,29,41,0,15,28,16,2,22,6,14,10,7,3,26,23,35,31,37,33,8,32,5,19,27,4,30,11,24,1,39,36,43
20,37,43,8,39,41,33,12,16,11,24,28,40,42,14,27,15,1,21,5,13,9,6,2,25,22,34,30,36,32,7,31,4,18,26,3,29,10,23,0,38,35,17,20,37,43,8,39,41,33,12,16,11,24,28,40,42,14,27,15,1,21,5,13,9,6,2,25,22,34,30,36,32,7,31,4,18,26,3,29,10,23,0,38,35,17
19,36,18,7,38,40,32,11,15,10,23,27,39,41,13,26,14,0,43,4,12,8,5,1,24,21,33,29,35,31,6,30,3,17,25,2,28,9,22,42,37,34,16,19,36,18,7,38,40,32,11,15,10,23,27,39,41,13,26,14,0,43,4,12,8,5,1,24,21,33,29,35,31,6,30,3,17,25,2,28,9,22,42,37,34,16
18,35,17,6,37,39,31,10,14,9,22,26,38,40,12,25,13,42,19,3,11,7,4,0,23,20,32,28,34,30,5,29,2,16,24,1,27,8,43,41,36,33,15,18,35,17,6,37,39,31,10,14,9,22,26,38,40,12,25,13,42,19,3,11,7,4,0,23,20,32,28,34,30,5,29,2,16,24,1,27,8,43,41,36,33,15
17,34,16,5,36,38,30,9,13,8,21,25,37,39,11,24,12,41,18,2,10,6,3,42,43,19,31,27,33,29,4,28,1,15,23,0,26,7,20,40,35,32,14,17,34,16,5,36,38,30,9,13,8,21,25,37,39,11,24,12,41,18,2,10,6,3,42,43,19,31,27,33,29,4,28,1,15,23,0,26,7,20,40,35,32,14
16,33,15,4,35,37,29,8,12,7,20,24,36,38,10,43,11,40,17,1,9,5,2,41,21,18,30,26,32,28,3,27,0,14,22,42,25,6,19,39,34,31,13,16,33,15,4,35,37,29,8,12,7,20,24,36,38,10,43,11,40,17,1,9,5,2,41,21,18,30,26,32,28,3,27,0,14,22,42,25,6,19,39,34,31,13
15,32,14,3,34,36,28,7,11,6,19,23,35,37,9,22,10,39,16,0,8,4,1,40,20,17,29,25,31,27,2,26,42,13,21,41,43,5,18,38,33,30,12,15,32,14,3,34,36,28,7,11,6,19,23,35,37,9,22,10,39,16,0,8,4,1,40,20,17,29,25,31,27,2,26,42,13,21,41,43,5,18,38,33,30,12
14,31,13,2,33,35,27,6,10,5,18,22,34,36,8,21,9,38,15,42,7,3,0,39,19,16,28,24,30,26,1,43,41,12,20,40,23,4,17,37,32,29,11,14,31,13,2,33,35,27,6,10,5,18,22,34,36,8,21,9,38,15,42,7,3,0,39,19,16,28,24,30,26,1,43,41,12,20,40,23,4,17,37,32,29,11
13,30,12,1,32,34,43,5,9,4,17,21,33,35,7,20,8,37,14,41,6,2,42,38,18,15,27,23,29,25,0,24,40,11,19,39,22,3,16,36,31,28,10,13,30,12,1,32,34,43,5,9,4,17,21,33,35,7,20,8,37,14,41,6,2,42,38,18,15,27,23,29,25,0,24,40,11,19,39,22,3,16,36,31,28,10
12,29,11,0,31,33,25,4,8,3,16,20,32,34,6,19,7,36,13,40,5,1,41,37,17,14,26,22,28,24,42,23,39,10,18,38,21,2,15,35,30,43,9,12,29,11,0,31,33,25,4,8,3,16,20,32,34,6,19,7,36,13,40,5,1,41,37,17,14,26,22,28,24,42,23,39,10,18,38,21,2,15,35,30,43,9
11,43,10,42,30,32,24,3,7,2,15,19,31,33,5,18,6,35,12,39,4,0,40,36,16,13,25,21,27,23,41,22,38,9,17,37,20,1,14,34,29,26,8,11,43,10,42,30,32,24,3,7,2,15,19,31,33,5,18,6,35,12,39,4,0,40,36,16,13,25,21,27,23,41,22,38,9,17,37,20,1,14,34,29,26,8
10,27,9,41,43,31,23,2,6,1,14,18,30,32,4,17,5,34,11,38,3,42,39,35,15,12,24,20,26,22,40,21,37,8,16,36,19,0,13,33,28,25,7,10,27,9,41,43,31,23,2,6,1,14,18,30,32,4,17,5,34,11,38,3,42,39,35,15,12,24,20,26,22,40,21,37,8,16,36,19,0,13,33,28,25,7
9,26,8,40,28,43,22,1,5,0,13,17,29,31,3,16,4,33,10,37,2,41,38,34,14,11,23,19,25,21,39,20,36,7,15,35,18,42,12,32,27,24,6,9,26,8,40,28,43,22,1,5,0,13,17,29,31,3,16,4,33,10,37,2,41,38,34,14,11,23,19,25,21,39,20,36,7,15,35,18,42,12,32,27,24,6
8,25,7,39,27,29,21,0,4,42,12,16,28,30,2,15,3,32,9,36,1,40,37,33,13,10,22,18,24,20,38,19,35,6,14,34,17,41,11,43,26,23,5,8,25,7,39,27,29,21,0,4,42,12,16,28,30,2,15,3,32,9,36,1,40,37,33,13,10,22,18,24,20,38,19,35,6,14,34,17,41,11,43,26,23,5
7,24,6,38,26,28,20,42,3,41,11,15,27,29,1,14,2,31,8,35,0,39,36,43,12,9,21,17,23,19,37,18,34,5,13,33,16,40,10,30,25,22,4,7,24,6,38,26,28,20,42,3,41,11,15,27,29,1,14,2,31,8,35,0,39,36,43,12,9,21,17,23,19,37,18,34,5,13,33,16,40,10,30,25,22,4
6,23,5,37,25,27,19,41,2,40,10,14,26,28,0,13,1,30,7,34,42,38,35,31,11,8,20,16,22,18,36,17,43,4,12,32,15,39,9,29,24,21,3,6,23,5,37,25,27,19,41,2,40,10,14,26,28,0,13,1,30,7,34,42,38,35,31,11,8,20,16,22,18,36,17,43,4,12,32,15,39,9,29,24,21,3
5,22,4,36,24,26,18,40,1,39,9,13,25,27,42,12,0,29,6,33,41,37,43,30,10,7,19,15,21,17,35,16,32,3,11,31,14,38,8,28,23,20,2,5,22,4,36,24,26,18,40,1,39,9,13,25,27,42,12,0,29,6,33,41,37,43,30,10,7,19,15,21,17,35,16,32,3,11,31,14,38,8,28,23,20,2
4,21,3,43,23,25,17,39,0,38,8,12,24,26,41,11,42,28,5,32,40,36,33,29,9,6,18,14,20,16,34,15,31,2,10,30,13,37,7,27,22,19,1,4,21,3,43,23,25,17,39,0,38,8,12,24,26,41,11,42,28,5,32,40,36,33,29,9,6,18,14,20,16,34,15,31,2,10,30,13,37,7,27,22,19,1
3,20,2,34,22,24,16,38,42,37,7,11,23,25,40,10,41,27,4,31,39,35,32,28,8,5,17,13,19,15,33,14,30,1,9,29,12,43,6,26,21,18,0,3,20,2,34,22,24,16,38,42,37,7,11,23,25,40,10,41,27,4,31,39,35,32,28,8,5,17,13,19,15,33,14,30,1,9,29,12,43,6,26,21,18,0
2,19,1,33,21,23,15,43,41,36,6,10,22,24,39,9,40,26,3,30,38,34,31,27,7,4,16,12,18,14,32,13,29,0,8,28,11,35,5,25,20,17,42,2,19,1,33,21,23,15,43,41,36,6,10,22,24,39,9,40,26,3,30,38,34,31,27,7,4,16,12,18,14,32,13,29,0,8,28,11,35,5,25,20,17,42
1,18,0,32,20,22,14,36,40,35,5,9,21,23,43,8,39,25,2,29,37,33,30,26,6,3,15,11,17,13,31,12,28,42,7,27,10,34,4,24,19,16,41,1,18,0,32,20,22,14,36,40,35,5,9,21,23,43,8,39,25,2,29,37,33,30,26,6,3,15,11,17,13,31,12,28,42,7,27,10,34,4,24,19,16,41
0,17,42,31,19,21,13,35,43,34,4,8,20,22,37,7,38,24,1,28,36,32,29,25,5,2,14,10,16,12,30,11,27,41,6,26,9,33,3,23,18,15,40,0,17,42,31,19,21,13,35,43,34,4,8,20,22,37,7,38,24,1,28,36,32,29,25,5,2,14,10,16,12,30,11,27,41,6,26,9,33,3,23,18,15,40
42,16,41,30,18,20,12,34,38,33,3,7,19,21,36,6,37,23,0,27,35,31,28,24,4,1,13,9,15,11,29,10,26,43,5,25,8,32,2,22,17,14,39,42,16,41,30,18,20,12,34,38,33,3,7,19,21,36,6,37,23,0,27,35,31,28,24,4,1,13,9,15,11,29,10,26,43,5,25,8,32,2,22,17,14,39
43,15,40,29,17,19,11,33,37,32,2,6,18,20,35,5,36,22,42,26,34,30,27,23,3,0,12,8,14,10,28,9,25,39,4,24,7,31,1,21,16,13,38,43,15,40,29,17,19,11,33,37,32,2,6,18,20,35,5,36,22,42,26,34,30,27,23,3,0,12,8,14,10,28,9,25,39,4,24,7,31,1,21,16,13,38
40,14,39,28,16,18,10,32,36,31,1,5,17,19,34,4,35,21,41,25,33,29,26,22,2,43,11,7,13,9,27,8,24,38,3,23,6,30,0,20,15,12,37,40,14,39,28,16,18,10,32,36,31,1,5,17,19,34,4,35,21,41,25,33,29,26,22,2,43,11,7,13,9,27,8,24,38,3,23,6,30,0,20,15,12,37
41,28,19,35,29,30,26,37,39,15,0,2,8,9,38,23,17,10,20,12,16,14,34,32,22,42,5,3,6,4,13,25,33,40,1,11,24,36,21,31,7,27,18,41,28,19,35,29,30,26,37,39,15,0,2,8,9,38,23,17,10,20,12,16,14,34,32,22,42,5,3,6,4,13,25,33,40,1,11,24,36,21,31,7,27,18
