0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
12,24,21,5,28,19,18,23,2,4,26,25,7,9,14,1,8,16,15,0,22,17,3,11,20,29,13,27,6,12,24,21,5,28,19,18,23,2,4,26,25,7,9,14,1,8,16,15,0,22,17,3,11,20,29,13,27,6
29,23,20,4,27,18,17,22,1,3,25,24,6,8,13,0,7,15,14,28,21,16,2,10,19,9,12,26,5,29,23,20,4,27,18,17,22,1,3,25,24,6,8,13,0,7,15,14,28,21,16,2,10,19,9,12,26,5
10,22,19,3,26,17,16,21,0,2,24,23,5,7,29,28,6,14,13,27,20,15,1,9,18,8,11,25,4,10,22,19,3,26,17,16,21,0,2,24,23,5,7,29,28,6,14,13,27,20,15,1,9,18,8,11,25,4
9,21,18,2,25,16,15,20,28,1,23,22,4,6,11,27,5,29,12,26,19,14,0,8,17,7,10,24,3,9,21,18,2,25,16,15,20,28,1,23,22,4,6,11,27,5,29,12,26,19,14,0,8,17,7,10,24,3
8,20,17,1,24,15,29,19,27,0,22,21,3,5,10,26,4,12,11,25,18,13,28,7,16,6,9,23,2,8,20,17,1,24,15,29,19,27,0,22,21,3,5,10,26,4,12,11,25,18,13,28,7,16,6,9,23,2
7,19,16,0,23,14,13,18,26,28,21,20,2,4,9,25,3,11,10,24,17,12,27,6,29,5,8,22,1,7,19,16,0,23,14,13,18,26,28,21,20,2,4,9,25,3,11,10,24,17,12,27,6,29,5,8,22,1
6,18,15,28,22,13,12,17,25,27,20,19,1,3,8,24,2,10,9,23,29,11,26,5,14,4,7,21,0,6,18,15,28,22,13,12,17,25,27,20,19,1,3,8,24,2,10,9,23,29,11,26,5,14,4,7,21,0
5,29,14,27,21,12,11,16,24,26,19,18,0,2,7,23,1,9,8,22,15,10,25,4,13,3,6,20,28,5,29,14,27,21,12,11,16,24,26,19,18,0,2,7,23,1,9,8,22,15,10,25,4,13,3,6,20,28
4,16,13,26,20,11,10,15,23,25,29,17,28,1,6,22,0,8,7,21,14,9,24,3,12,2,5,19,27,4,16,13,26,20,11,10,15,23,25,29,17,28,1,6,22,0,8,7,21,14,9,24,3,12,2,5,19,27
3,15,12,25,29,10,9,14,22,24,17,16,27,0,5,21,28,7,6,20,13,8,23,2,11,1,4,18,26,3,15,12,25,29,10,9,14,22,24,17,16,27,0,5,21,28,7,6,20,13,8,23,2,11,1,4,18,26
2,14,11,24,18,9,8,13,21,23,16,15,26,28,4,29,27,6,5,19,12,7,22,1,10,0,3,17,25,2,14,11,24,18,9,8,13,21,23,16,15,26,28,4,29,27,6,5,19,12,7,22,1,10,0,3,17,25
1,13,10,23,17,8,7,12,20,22,15,14,25,27,3,19,26,5,4,18,11,6,29,0,9,28,2,16,24,1,13,10,23,17,8,7,12,20,22,15,14,25,27,3,19,26,5,4,18,11,6,29,0,9,28,2,16,24
0,12,9,29,16,7,6,11,19,21,14,13,24,26,2,18,25,4,3,17,10,5,20,28,8,27,1,15,23,0,12,9,29,16,7,6,11,19,21,14,13,24,26,2,18,25,4,3,17,10,5,20,28,8,27,1,15,23
28,11,8,21,15,6,5,10,18,20,13,12,29,25,1,17,24,3,2,16,9,4,19,27,7,26,0,14,22,28,11,8,21,15,6,5,10,18,20,13,12,29,25,1,17,24,3,2,16,9,4,19,27,7,26,0,14,22
27,10,7,20,14,5,4,9,17,19,12,11,22,29,0,16,23,2,1,15,8,3,18,26,6,25,28,13,21,27,10,7,20,14,5,4,9,17,19,12,11,22,29,0,16,23,2,1,15,8,3,18,26,6,25,28,13,21
26,9,6,19,13,4,3,8,16,18,11,10,21,23,28,15,22,1,0,14,7,2,17,29,5,24,27,12,20,26,9,6,19,13,4,3,8,16,18,11,10,21,23,28,15,22,1,0,14,7,2,17,29,5,24,27,12,20
25,8,5,18,12,3,2,7,15,17,10,9,20,22,27,14,21,0,28,13,6,1,16,24,4,23,29,11,19,25,8,5,18,12,3,2,7,15,17,10,9,20,22,27,14,21,0,28,13,6,1,16,24,4,23,29,11,19
24,7,4,17,11,2,1,6,14,16,9,8,19,21,26,13,20,28,29,12,5,0,15,23,3,22,25,10,18,24,7,4,17,11,2,1,6,14,16,9,8,19,21,26,13,20,28,29,12,5,0,15,23,3,22,25,10,18
23,6,3,16,10,1,0,5,13,15,8,7,18,20,25,12,19,27,26,11,4,29,14,22,2,21,24,9,17,23,6,3,16,10,1,0,5,13,15,8,7,18,20,25,12,19,27,26,11,4,29,14,22,2,21,24,9,17
11,17,1,22,19,0,14,2,6,7,18,3,23,24,12,20,9,13,27,5,16,28,21,25,15,10,26,4,8,11,17,1,22,19,0,14,2,6,7,18,3,23,24,12,20,9,13,27,5,16,28,21,25,15,10,26,4,8
