0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
9,11,1,19,32,0,13,16,17,35,18,5,6,29,24,39,33,7,3,20,25,28,27,12,34,36,15,4,22,8,30,37,26,38,23,31,21,14,2,9,11,1,19,32,0,13,16,17,35,18,5,6,29,24,39,33,7,3,20,25,28,27,12,34,36,15,4,22,8,30,37,26,38,23,31,21,14,2
8,10,0,18,31,38,12,15,16,34,17,4,5,28,23,9,32,6,2,19,24,27,26,39,33,35,14,3,21,7,29,36,25,37,22,30,20,13,1,8,10,0,18,31,38,12,15,16,34,17,4,5,28,23,9,32,6,2,19,24,27,26,39,33,35,14,3,21,7,29,36,25,37,22,30,20,13,1
7,9,38,17,30,37,11,14,15,33,16,3,4,27,22,8,31,5,1,18,23,26,25,10,32,34,13,2,20,6,28,35,24,36,21,29,19,39,0,7,9,38,17,30,37,11,14,15,33,16,3,4,27,22,8,31,5,1,18,23,26,25,10,32,34,13,2,20,6,28,35,24,36,21,29,19,39,0
6,8,37,16,29,36,10,39,14,32,15,2,3,26,21,7,30,4,0,17,22,25,24,9,31,33,12,1,19,5,27,34,23,35,20,28,18,11,38,6,8,37,16,29,36,10,39,14,32,15,2,3,26,21,7,30,4,0,17,22,25,24,9,31,33,12,1,19,5,27,34,23,35,20,28,18,11,38
5,7,36,15,28,35,9,12,13,31,39,1,2,25,20,6,29,3,38,16,21,24,23,8,30,32,11,0,18,4,26,33,22,34,19,27,17,10,37,5,7,36,15,28,35,9,12,13,31,39,1,2,25,20,6,29,3,38,16,21,24,23,8,30,32,11,0,18,4,26,33,22,34,19,27,17,10,37
4,6,35,14,27,34,8,11,12,30,13,0,1,24,19,5,28,2,37,39,20,23,22,7,29,31,10,38,17,3,25,32,21,33,18,26,16,9,36,4,6,35,14,27,34,8,11,12,30,13,0,1,24,19,5,28,2,37,39,20,23,22,7,29,31,10,38,17,3,25,32,21,33,18,26,16,9,36
3,5,34,13,26,33,7,10,11,29,12,38,0,23,18,4,27,1,36,14,19,22,21,6,28,30,9,37,39,2,24,31,20,32,17,25,15,8,35,3,5,34,13,26,33,7,10,11,29,12,38,0,23,18,4,27,1,36,14,19,22,21,6,28,30,9,37,39,2,24,31,20,32,17,25,15,8,35
2,4,33,12,25,32,6,9,10,28,11,37,38,22,39,3,26,0,35,13,18,21,20,5,27,29,8,36,15,1,23,30,19,31,16,24,14,7,34,2,4,33,12,25,32,6,9,10,28,11,37,38,22,39,3,26,0,35,13,18,21,20,5,27,29,8,36,15,1,23,30,19,31,16,24,14,7,34
1,3,32,11,24,31,5,8,9,27,10,36,37,21,16,2,25,38,34,12,17,20,19,4,26,28,7,35,14,0,22,29,39,30,15,23,13,6,33,1,3,32,11,24,31,5,8,9,27,10,36,37,21,16,2,25,38,34,12,17,20,19,4,26,28,7,35,14,0,22,29,39,30,15,23,13,6,33
0,2,31,10,23,30,4,7,8,26,9,35,36,20,15,1,24,37,33,11,16,39,18,3,25,27,6,34,13,38,21,28,17,29,14,22,12,5,32,0,2,31,10,23,30,4,7,8,26,9,35,36,20,15,1,24,37,33,11,16,39,18,3,25,27,6,34,13,38,21,28,17,29,14,22,12,5,32
38,1,30,9,22,29,3,6,7,25,8,34,35,19,14,0,23,36,32,10,15,18,17,2,24,26,5,33,12,37,39,27,16,28,13,21,11,4,31,38,1,30,9,22,29,3,6,7,25,8,34,35,19,14,0,23,36,32,10,15,18,17,2,24,26,5,33,12,37,39,27,16,28,13,21,11,4,31
37,0,29,8,39,28,2,5,6,24,7,33,34,18,13,38,22,35,31,9,14,17,16,1,23,25,4,32,11,36,19,26,15,27,12,20,10,3,30,37,0,29,8,39,28,2,5,6,24,7,33,34,18,13,38,22,35,31,9,14,17,16,1,23,25,4,32,11,36,19,26,15,27,12,20,10,3,30
36,38,28,7,20,27,1,4,5,23,6,32,33,17,12,37,21,34,30,8,13,16,15,0,39,24,3,31,10,35,18,25,14,26,11,19,9,2,29,36,38,28,7,20,27,1,4,5,23,6,32,33,17,12,37,21,34,30,8,13,16,15,0,39,24,3,31,10,35,18,25,14,26,11,19,9,2,29
35,37,27,6,19,26,0,3,4,22,5,31,32,16,11,36,20,33,29,7,12,15,14,38,21,39,2,30,9,34,17,24,13,25,10,18,8,1,28,35,37,27,6,19,26,0,3,4,22,5,31,32,16,11,36,20,33,29,7,12,15,14,38,21,39,2,30,9,34,17,24,13,25,10,18,8,1,28
34,36,26,5,18,25,38,2,3,21,4,30,31,15,10,35,19,32,28,6,11,14,13,37,20,22,1,29,8,33,16,23,12,39,9,17,7,0,27,34,36,26,5,18,25,38,2,3,21,4,30,31,15,10,35,19,32,28,6,11,14,13,37,20,22,1,29,8,33,16,23,12,39,9,17,7,0,27
33,35,39,4,17,24,37,1,2,20,3,29,30,14,9,34,18,31,27,5,10,13,12,36,19,21,0,28,7,32,15,22,11,23,8,16,6,38,26,33,35,39,4,17,24,37,1,2,20,3,29,30,14,9,34,18,31,27,5,10,13,12,36,19,21,0,28,7,32,15,22,11,23,8,16,6,38,26
32,34,24,3,16,23,36,0,1,19,2,28,29,13,8,33,17,30,39,4,9,12,11,35,18,20,38,27,6,31,14,21,10,22,7,15,5,37,25,32,34,24,3,16,23,36,0,1,19,2,28,29,13,8,33,17,30,39,4,9,12,11,35,18,20,38,27,6,31,14,21,10,22,7,15,5,37,25
31,33,23,2,15,22,35,38,0,18,1,39,28,12,7,32,16,29,25,3,8,11,10,34,17,19,37,26,5,30,13,20,9,21,6,14,4,36,24,31,33,23,2,15,22,35,38,0,18,1,39,28,12,7,32,16,29,25,3,8,11,10,34,17,19,37,26,5,30,13,20,9,21,6,14,4,36,24
30,32,22,1,14,21,34,37,38,17,0,26,27,11,6,31,15,39,24,2,7,10,9,33,16,18,36,25,4,29,12,19,8,20,5,13,3,35,23,30,32,22,1,14,21,34,37,38,17,0,26,27,11,6,31,15,39,24,2,7,10,9,33,16,18,36,25,4,29,12,19,8,20,5,13,3,35,23
39,31,21,0,13,20,33,36,37,16,38,25,26,10,5,30,14,27,23,1,6,9,8,32,15,17,35,24,3,28,11,18,7,19,4,12,2,34,22,39,31,21,0,13,20,33,36,37,16,38,25,26,10,5,30,14,27,23,1,6,9,8,32,15,17,35,24,3,28,11,18,7,19,4,12,2,34,22
28,39,20,38,12,19,32,35,36,15,37,24,25,9,4,29,13,26,22,0,5,8,7,31,14,16,34,23,2,27,10,17,6,18,3,11,1,33,21,28,39,20,38,12,19,32,35,36,15,37,24,25,9,4,29,13,26,22,0,5,8,7,31,14,16,34,23,2,27,10,17,6,18,3,11,1,33,21
27,29,19,37,11,18,39,34,35,14,36,23,24,8,3,28,12,25,21,38,4,7,6,30,13,15,33,22,1,26,9,16,5,17,2,10,0,32,20,27,29,19,37,11,18,39,34,35,14,36,23,24,8,3,28,12,25,21,38,4,7,6,30,13,15,33,22,1,26,9,16,5,17,2,10,0,32,20
26,28,18,36,10,17,30,33,34,13,35,22,23,7,2,27,11,24,20,37,3,6,5,29,12,14,39,21,0,25,8,15,4,16,1,9,38,31,19,26,28,18,36,10,17,30,33,34,13,35,22,23,7,2,27,11,24,20,37,3,6,5,29,12,14,39,21,0,25,8,15,4,16,1,9,38,31,19
25,27,17,35,9,16,29,32,39,12,34,21,22,6,1,26,10,23,19,36,2,5,4,28,11,13,31,20,38,24,7,14,3,15,0,8,37,30,18,25,27,17,35,9,16,29,32,39,12,34,21,22,6,1,26,10,23,19,36,2,5,4,28,11,13,31,20,38,24,7,14,3,15,0,8,37,30,18
24,26,16,39,8,15,28,31,32,11,33,20,21,5,0,25,9,22,18,35,1,4,3,27,10,12,30,19,37,23,6,13,2,14,38,7,36,29,17,24,26,16,39,8,15,28,31,32,11,33,20,21,5,0,25,9,22,18,35,1,4,3,27,10,12,30,19,37,23,6,13,2,14,38,7,36,29,17
23,25,15,33,7,14,27,30,31,10,32,19,20,4,38,24,8,21,17,34,0,3,2,26,9,11,29,18,36,22,5,12,1,13,37,6,39,28,16,23,25,15,33,7,14,27,30,31,10,32,19,20,4,38,24,8,21,17,34,0,3,2,26,9,11,29,18,36,22,5,12,1,13,37,6,39,28,16
22,24,14,32,6,13,26,29,30,9,31,18,19,3,37,23,7,20,16,33,38,2,1,25,8,10,28,17,35,21,4,11,0,12,39,5,34,27,15,22,24,14,32,6,13,26,29,30,9,31,18,19,3,37,23,7,20,16,33,38,2,1,25,8,10,28,17,35,21,4,11,0,12,39,5,34,27,15
21,23,13,31,5,12,25,28,29,8,30,17,18,2,36,22,6,19,15,32,39,1,0,24,7,9,27,16,34,20,3,10,38,11,35,4,33,26,14,21,23,13,31,5,12,25,28,29,8,30,17,18,2,36,22,6,19,15,32,39,1,0,24,7,9,27,16,34,20,3,10,38,11,35,4,33,26,14
20,22,12,30,4,11,24,27,28,7,29,16,17,1,35,21,5,18,14,31,36,0,39,23,6,8,26,15,33,19,2,9,37,10,34,3,32,25,13,20,22,12,30,4,11,24,27,28,7,29,16,17,1,35,21,5,18,14,31,36,0,39,23,6,8,26,15,33,19,2,9,37,10,34,3,32,25,13
29,30,25,34,21,5,31,13,33,3,14,27,8,0,17,10,2,28,26,15,37,19,38,11,22,23,32,7,16,9,20,4,18,24,36,1,35,12,6,29,30,25,34,21,5,31,13,33,3,14,27,8,0,17,10,2,28,26,15,37,19,38,11,22,23,32,7,16,9,20,4,18,24,36,1,35,12,6
